Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,State,Country,Region,Market,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
42433,AG-2012-TB112803-40909,01/01/2021,01/06/2021,Standard Class,TB-112803,Consumer,Constantine,Algeria,North Africa,Africa,OFF-ST-6261,Office Supplies,Storage, $408.30 ,2,0.00%, $106.14 , $35.46 ,Medium
26362,IN-2012-LB16735102-40911,01/03/2021,01/07/2021,Second Class,LB-16735102,Consumer,National Capital,Philippines,Southeastern Asia,Asia Pacific,OFF-ST-6262,Office Supplies,Storage, $337.64 ,3,45.00%, $(122.80), $33.75 ,High
41807,IR-2012-NG835560-40911,01/03/2021,01/08/2021,Second Class,NG-835560,Corporate,Razavi Khorasan,Iran,Southern Asia,Asia Pacific,OFF-AR-3471,Office Supplies,Art, $51.84 ,1,0.00%, $7.77 , $5.91 ,High
25375,IN-2012-DP1339078-40911,01/03/2021,01/09/2021,Standard Class,DP-1339078,Home Office,Sarawak,Malaysia,Southeastern Asia,Asia Pacific,TEC-CO-4574,Technology,Copiers, $192.87 ,1,0.00%, $50.13 , $10.40 ,Medium
9489,MX-2012-MH1778582-40912,01/04/2021,01/09/2021,Standard Class,MH-1778582,Corporate,Yucatán,Mexico,Central America,LATAM,TEC-CO-6004,Technology,Copiers, $165.55 ,2,0.20%, $49.43 , $9.54 ,High
8959,MX-2012-DD1357018-40915,01/07/2021,01/07/2021,Same Day,DD-1357018,Consumer,São Paulo,Brazil,South America,LATAM,OFF-FA-6199,Office Supplies,Fasteners, $43.04 ,4,0.00%, $6.00 , $3.94 ,High
16863,ES-2012-DP1310545-40915,01/07/2021,01/08/2021,First Class,DP-1310545,Corporate,Provence-Alpes-Côte d'Azur,France,Western Europe,Europe,OFF-FA-2960,Office Supplies,Fasteners, $33.39 ,3,0.00%, $2.25 , $9.73 ,Medium
36624,CA-2012-LS17230140-40915,01/07/2021,01/09/2021,Second Class,LS-172301404,Consumer,California,United States,Western US,USCA,OFF-PA-6589,Office Supplies,Paper, $19.44 ,3,0.00%, $9.33 , $4.37 ,High
38777,CA-2012-ME17320140-40915,01/07/2021,01/11/2021,Standard Class,ME-173201408,Home Office,Kentucky,United States,Southern US,USCA,OFF-PA-6083,Office Supplies,Paper, $6.54 ,1,0.00%, $3.01 , $1.13 ,High
38773,CA-2012-ME17320140-40915,01/07/2021,01/11/2021,Standard Class,ME-173201408,Home Office,Kentucky,United States,Southern US,USCA,OFF-AR-5698,Office Supplies,Art, $5.48 ,2,0.00%, $1.48 , $1.52 ,High
38775,CA-2012-ME17320140-40915,01/07/2021,01/11/2021,Standard Class,ME-173201408,Home Office,Kentucky,United States,Southern US,USCA,TEC-PH-6425,Technology,Phones, $755.96 ,4,0.00%, $204.11 , $13.82 ,High
38771,CA-2012-ME17320140-40915,01/07/2021,01/11/2021,Standard Class,ME-173201408,Home Office,Kentucky,United States,Southern US,USCA,FUR-CH-4400,Furniture,Chairs," $2,573.82 ",9,0.00%, $746.41 , $258.99 ,High
21849,ID-2012-EB1370559-40917,01/09/2021,01/13/2021,Standard Class,EB-1370559,Corporate,Jawa Timur,Indonesia,Southeastern Asia,Asia Pacific,TEC-PH-5264,Technology,Phones, $239.74 ,2,17.00%, $(11.60), $34.99 ,High
27180,IN-2012-AG10270144-40917,01/09/2021,01/14/2021,Standard Class,AG-10270144,Consumer,Kiên Giang,Vietnam,Southeastern Asia,Asia Pacific,OFF-LA-6051,Office Supplies,Labels, $45.19 ,5,17.00%, $17.89 , $3.31 ,Medium
48225,HU-2012-ER385557-40918,01/10/2021,01/10/2021,Same Day,ER-385557,Corporate,Budapest,Hungary,Eastern Europe,Europe,FUR-BO-4863,Furniture,Bookcases, $363.39 ,1,0.00%, $159.87 , $134.59 ,Critical
48221,HU-2012-ER385557-40918,01/10/2021,01/10/2021,Same Day,ER-385557,Corporate,Budapest,Hungary,Eastern Europe,Europe,TEC-MA-6133,Technology,Machines, $37.11 ,1,0.00%, $5.55 , $4.32 ,Critical
48226,HU-2012-ER385557-40918,01/10/2021,01/10/2021,Same Day,ER-385557,Corporate,Budapest,Hungary,Eastern Europe,Europe,OFF-PA-4004,Office Supplies,Paper, $53.16 ,2,0.00%, $-   , $16.06 ,Critical
48224,HU-2012-ER385557-40918,01/10/2021,01/10/2021,Same Day,ER-385557,Corporate,Budapest,Hungary,Eastern Europe,Europe,OFF-AR-5922,Office Supplies,Art, $154.98 ,6,0.00%, $54.18 , $58.32 ,Critical
28045,IN-2012-DL128657-40918,01/10/2021,01/11/2021,First Class,DL-128657,Consumer,Queensland,Australia,Oceania,Asia Pacific,OFF-PA-4177,Office Supplies,Paper, $161.51 ,6,10.00%, $53.69 , $3.02 ,Medium
27675,IN-2012-PO1886527-40918,01/10/2021,01/11/2021,First Class,PO-1886527,Consumer,Guangxi,China,Eastern Asia,Asia Pacific,OFF-SU-4984,Office Supplies,Supplies, $25.92 ,2,0.00%, $5.40 , $5.86 ,High
17272,ES-2012-MB180858-40919,01/11/2021,01/15/2021,Standard Class,MB-180858,Consumer,Vienna,Austria,Western Europe,Europe,OFF-AR-3527,Office Supplies,Art, $54.90 ,1,0.00%, $9.87 , $5.83 ,High
28174,IN-2012-SC20680102-40919,01/11/2021,01/16/2021,Standard Class,SC-20680102,Home Office,Calabarzon,Philippines,Southeastern Asia,Asia Pacific,FUR-FU-5736,Furniture,Furnishings, $77.72 ,2,25.00%, $23.78 , $7.09 ,Medium
32163,CA-2012-AJ10780140-40919,01/11/2021,01/16/2021,Standard Class,AJ-107801408,Corporate,Virginia,United States,Southern US,USCA,FUR-FU-4755,Furniture,Furnishings, $51.94 ,1,0.00%, $21.30 , $3.52 ,Medium
46381,NI-2012-SC1044095-40920,01/12/2021,01/16/2021,Standard Class,SC-1044095,Corporate,Lagos,Nigeria,Western Africa,Africa,OFF-AR-3471,Office Supplies,Art, $15.55 ,1,70.00%, $(28.52), $1.27 ,Medium
18563,ES-2012-AG10765139-40920,01/12/2021,01/17/2021,Standard Class,AG-10765139,Home Office,England,United Kingdom,Northern Europe,Europe,FUR-CH-4630,Furniture,Chairs, $290.10 ,5,0.00%, $69.60 , $18.63 ,Medium
2381,MX-2012-TS2120582-40920,01/12/2021,01/17/2021,Standard Class,TS-2120582,Corporate,Coahuila,Mexico,Central America,LATAM,TEC-CO-4574,Technology,Copiers, $384.97 ,3,0.20%, $68.65 , $38.19 ,Medium
2594,US-2012-JL15175143-40921,01/13/2021,01/17/2021,Standard Class,JL-15175143,Home Office,Anzoátegui,Venezuela,South America,LATAM,OFF-SU-4126,Office Supplies,Supplies, $26.40 ,5,40.00%, $(8.00), $2.20 ,High
46320,EG-2012-RD972038-40921,01/13/2021,01/18/2021,Standard Class,RD-972038,Consumer,Aswan,Egypt,North Africa,Africa,OFF-ST-4253,Office Supplies,Storage, $37.50 ,2,0.00%, $17.22 , $2.66 ,Medium
18779,ES-2012-SR204258-40922,01/14/2021,01/19/2021,Standard Class,SR-204258,Home Office,Vienna,Austria,Western Europe,Europe,TEC-PH-3135,Technology,Phones, $439.56 ,6,0.00%, $65.88 , $49.92 ,High
36235,CA-2012-BD11605140-40922,01/14/2021,01/19/2021,Standard Class,BD-116051404,Consumer,California,United States,Western US,USCA,FUR-BO-5526,Furniture,Bookcases, $334.00 ,3,15.00%, $3.93 , $40.44 ,High
40925,CA-2012-MM17920140-40922,01/14/2021,01/19/2021,Standard Class,MM-179201406,Consumer,Ohio,United States,Eastern US,USCA,OFF-PA-6476,Office Supplies,Paper, $37.41 ,7,20.00%, $13.09 , $1.46 ,Medium
6293,MX-2012-BP1109593-40922,01/14/2021,01/20/2021,Standard Class,BP-1109593,Corporate,Estelí,Nicaragua,Central America,LATAM,OFF-ST-6274,Office Supplies,Storage, $109.38 ,3,0.00%, $28.38 , $6.11 ,Medium
23762,ID-2012-MY18295102-40922,01/14/2021,01/21/2021,Standard Class,MY-18295102,Corporate,National Capital,Philippines,Southeastern Asia,Asia Pacific,OFF-ST-6065,Office Supplies,Storage, $79.99 ,3,45.00%, $5.74 , $9.43 ,Low
30134,ID-2012-MC1810059-40923,01/15/2021,01/15/2021,Same Day,MC-1810059,Consumer,Bali,Indonesia,Southeastern Asia,Asia Pacific,OFF-AR-3475,Office Supplies,Art, $149.97 ,4,27.00%, $(49.35), $21.15 ,Critical
30135,ID-2012-MC1810059-40923,01/15/2021,01/15/2021,Same Day,MC-1810059,Consumer,Bali,Indonesia,Southeastern Asia,Asia Pacific,OFF-AR-6116,Office Supplies,Art, $51.38 ,3,27.00%, $(0.01), $21.13 ,Critical
20071,ES-2012-MD17860120-40926,01/18/2021,01/21/2021,First Class,MD-17860120,Corporate,Valenciana,Spain,Southern Europe,Europe,OFF-FA-6207,Office Supplies,Fasteners, $108.24 ,8,0.00%, $33.36 , $18.36 ,Critical
11643,ES-2012-MA1756064-40927,01/19/2021,01/20/2021,First Class,MA-1756064,Home Office,Sicily,Italy,Southern Europe,Europe,OFF-ST-4261,Office Supplies,Storage, $47.52 ,3,40.00%, $7.92 , $15.23 ,Critical
48020,ZA-2012-PG8820146-40927,01/19/2021,01/21/2021,First Class,PG-8820146,Consumer,Eastern,Zambia,Eastern Africa,Africa,OFF-AR-3494,Office Supplies,Art, $417.90 ,14,0.00%, $95.76 , $143.67 ,Critical
12393,ES-2012-AB1060064-40927,01/19/2021,01/21/2021,First Class,AB-1060064,Corporate,Lombardy,Italy,Southern Europe,Europe,OFF-EN-4431,Office Supplies,Envelopes, $48.42 ,3,0.00%, $21.24 , $3.54 ,High
48087,CA-2012-MK790523-40927,01/19/2021,01/22/2021,Second Class,MK-790523,Corporate,Manitoba,Canada,Canada,USCA,OFF-FA-6185,Office Supplies,Fasteners, $16.29 ,1,0.00%, $5.70 , $1.40 ,Medium
5794,MX-2012-AG1030093-40927,01/19/2021,01/24/2021,Standard Class,AG-1030093,Corporate,Estelí,Nicaragua,Central America,LATAM,TEC-MA-5513,Technology,Machines, $716.00 ,4,0.00%, $221.92 , $36.29 ,Medium
5793,MX-2012-AG1030093-40927,01/19/2021,01/24/2021,Standard Class,AG-1030093,Corporate,Estelí,Nicaragua,Central America,LATAM,FUR-BO-4856,Furniture,Bookcases, $226.40 ,2,0.00%, $33.96 , $25.81 ,Medium
5795,MX-2012-AG1030093-40927,01/19/2021,01/24/2021,Standard Class,AG-1030093,Corporate,Estelí,Nicaragua,Central America,LATAM,TEC-AC-5860,Technology,Accessories, $52.72 ,2,0.00%, $16.32 , $4.10 ,Medium
36762,CA-2012-TS21340140-40928,01/20/2021,01/21/2021,First Class,TS-213401404,Consumer,Arizona,United States,Western US,USCA,FUR-BO-5522,Furniture,Bookcases, $181.47 ,5,70.00%, $(320.60), $29.68 ,Medium
48612,RS-2012-RD9900108-40928,01/20/2021,01/22/2021,Second Class,RD-9900108,Consumer,Belgorod,Russia,Eastern Europe,Europe,OFF-LA-5375,Office Supplies,Labels, $10.32 ,1,0.00%, $4.83 , $2.05 ,High
6826,MX-2012-HL1504093-40929,01/21/2021,01/27/2021,Standard Class,HL-1504093,Consumer,Managua,Nicaragua,Central America,LATAM,FUR-TA-3764,Furniture,Tables," $2,797.25 ",6,20.00%, $(0.07), $320.38 ,Low
37628,CA-2012-XP21865140-40929,01/21/2021,01/27/2021,Standard Class,XP-218651402,Consumer,Michigan,United States,Central US,USCA,OFF-AR-5554,Office Supplies,Art, $43.92 ,3,0.00%, $12.74 , $4.88 ,Medium
32423,US-2012-HL15040140-40929,01/21/2021,01/27/2021,Standard Class,HL-150401408,Consumer,Arkansas,United States,Southern US,USCA,FUR-CH-4620,Furniture,Chairs," $1,067.94 ",3,0.00%, $224.27 , $85.72 ,Medium
37627,CA-2012-XP21865140-40929,01/21/2021,01/27/2021,Standard Class,XP-218651402,Consumer,Michigan,United States,Central US,USCA,OFF-ST-4246,Office Supplies,Storage, $66.58 ,2,0.00%, $15.98 , $8.40 ,Medium
30836,ID-2012-SS208757-40930,01/22/2021,01/23/2021,First Class,SS-208757,Consumer,Queensland,Australia,Oceania,Asia Pacific,OFF-FA-6204,Office Supplies,Fasteners, $6.32 ,1,40.00%, $(3.91), $1.77 ,Critical
18063,ES-2012-PS1897064-40930,01/22/2021,01/26/2021,Standard Class,PS-1897064,Home Office,Tuscany,Italy,Southern Europe,Europe,OFF-ST-5702,Office Supplies,Storage, $888.93 ,7,40.00%, $59.22 , $96.45 ,High
5899,MX-2012-LT1676593-40931,01/23/2021,01/23/2021,Same Day,LT-1676593,Consumer,Managua,Nicaragua,Central America,LATAM,FUR-CH-5380,Furniture,Chairs, $920.40 ,3,0.00%, $395.76 , $45.77 ,Medium
19157,IT-2012-SJ2050064-40932,01/24/2021,01/26/2021,First Class,SJ-2050064,Consumer,Emilia-Romagna,Italy,Southern Europe,Europe,FUR-CH-4564,Furniture,Chairs, $72.95 ,1,60.00%, $(56.56), $29.86 ,Critical
48655,TU-2012-JM5250134-40932,01/24/2021,01/28/2021,Standard Class,JM-5250134,Consumer,Afyonkarahisar,Türkiye,Western Asia,Asia Pacific,OFF-FA-5462,Office Supplies,Fasteners, $15.36 ,2,60.00%, $(3.84), $1.94 ,Medium
22971,IN-2012-LC168857-40932,01/24/2021,01/29/2021,Standard Class,LC-168857,Consumer,Northern Territory,Australia,Oceania,Asia Pacific,TEC-AC-5862,Technology,Accessories, $110.81 ,3,10.00%, $8.57 , $9.92 ,Medium
30882,IN-2012-JM1558092-40932,01/24/2021,01/30/2021,Standard Class,JM-1558092,Consumer,Wellington,New Zealand,Oceania,Asia Pacific,OFF-EN-5040,Office Supplies,Envelopes, $420.42 ,14,0.00%, $147.00 , $20.03 ,Medium
43055,NI-2012-GH442595-40933,01/25/2021,01/28/2021,Second Class,GH-442595,Consumer,Kwara,Nigeria,Western Africa,Africa,OFF-AR-3497,Office Supplies,Art, $3.96 ,1,70.00%, $(9.00), $1.28 ,Medium
6804,MX-2012-SA2083031-40933,01/25/2021,01/29/2021,Second Class,SA-2083031,Consumer,Guantánamo,Cuba,Caribbean,LATAM,OFF-PA-3993,Office Supplies,Paper, $17.64 ,1,0.00%, $5.98 , $1.76 ,Medium
19888,ES-2012-AB1015045-40933,01/25/2021,01/30/2021,Standard Class,AB-1015045,Consumer,Ile-de-France,France,Western Europe,Europe,OFF-AR-6117,Office Supplies,Art, $177.66 ,7,0.00%, $58.59 , $16.94 ,Medium
14733,ES-2012-FM1421548-40933,01/25/2021,02/01/2021,Standard Class,FM-1421548,Corporate,North Rhine-Westphalia,Germany,Western Europe,Europe,OFF-BI-3720,Office Supplies,Binders, $132.90 ,10,0.00%, $3.90 , $8.94 ,Medium
23290,IN-2012-NM1844558-40934,01/26/2021,01/28/2021,Second Class,NM-1844558,Home Office,Telangana,India,Southern Asia,Asia Pacific,OFF-PA-3993,Office Supplies,Paper, $79.38 ,3,0.00%, $25.38 , $13.82 ,High
19593,IT-2012-AS1024045-40934,01/26/2021,01/29/2021,Second Class,AS-1024045,Consumer,Languedoc-Roussillon-Midi-Pyrénées,France,Western Europe,Europe,OFF-ST-5688,Office Supplies,Storage, $108.00 ,5,10.00%, $2.40 , $11.06 ,Medium
17426,ES-2012-PO18850120-40934,01/26/2021,01/30/2021,Standard Class,PO-18850120,Consumer,Madrid,Spain,Southern Europe,Europe,OFF-LA-6050,Office Supplies,Labels, $31.50 ,3,0.00%, $10.08 , $4.82 ,High
46754,MO-2012-NC834086-40934,01/26/2021,01/31/2021,Standard Class,NC-834086,Consumer,Fès-Boulemane,Morocco,North Africa,Africa,OFF-LA-5405,Office Supplies,Labels, $10.98 ,1,0.00%, $4.83 , $1.88 ,High
46756,MO-2012-NC834086-40934,01/26/2021,01/31/2021,Standard Class,NC-834086,Consumer,Fès-Boulemane,Morocco,North Africa,Africa,TEC-MA-5007,Technology,Machines, $310.59 ,1,0.00%, $118.02 , $27.70 ,High
48957,TU-2012-JF5355134-40934,01/26/2021,01/31/2021,Standard Class,JF-5355134,Consumer,Izmir,Türkiye,Western Asia,Asia Pacific,OFF-LA-4639,Office Supplies,Labels, $5.05 ,1,60.00%, $(7.34), $1.34 ,Medium
48959,TU-2012-JF5355134-40934,01/26/2021,01/31/2021,Standard Class,JF-5355134,Consumer,Izmir,Türkiye,Western Asia,Asia Pacific,OFF-AP-4492,Office Supplies,Appliances, $114.86 ,4,60.00%, $(68.98), $11.17 ,Medium
